Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
BungeeCord1,net.md_5.bungee.api.connection,ProxiedPlayer.ChatMode,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
BungeeCord1,net.md_5.bungee.api.connection,ProxiedPlayer.ChatMode,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee.api.connection,ProxiedPlayer.MainHand,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
BungeeCord1,net.md_5.bungee.api.connection,ProxiedPlayer.MainHand,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee.api.connection,Server,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Connection
BungeeCord1,net.md_5.bungee.api.event,ChatEvent,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): TargetedEvent; Cancellable
BungeeCord1,net.md_5.bungee.api.event,ClientConnectEvent,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: cancelled; socketAddress; listener
BungeeCord1,net.md_5.bungee.api.event,ClientConnectEvent,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee.api.event,LoginEvent,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AsyncEvent; Cancellable
BungeeCord1,net.md_5.bungee.api.event,PermissionCheckEvent,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee.api.event,PermissionCheckEvent,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Event
BungeeCord1,net.md_5.bungee.api.event,PlayerDisconnectEvent,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: player
BungeeCord1,net.md_5.bungee.api.event,PlayerHandshakeEvent,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee.api.event,PlayerHandshakeEvent,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Event
BungeeCord1,net.md_5.bungee.api.event,PluginMessageEvent,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): TargetedEvent; Cancellable
BungeeCord1,net.md_5.bungee.api.event,PostLoginEvent,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AsyncEvent
BungeeCord1,net.md_5.bungee.api.event,PreLoginEvent,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AsyncEvent; Cancellable
BungeeCord1,net.md_5.bungee.api.event,ProxyPingEvent,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AsyncEvent
BungeeCord1,net.md_5.bungee.api.event,ProxyReloadEvent,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: sender
