Project Name,Package Name,Architecture Smell,Cause of the Smell
BungeeCord1,net.md_5.bungee.api.connection,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): net.md_5.bungee.api.event
BungeeCord1,net.md_5.bungee.api.connection,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ConnectedPlayer; ProxiedPlayer; Server; Connection; PendingConnection]; [Connection.Unsafe]; [ProxiedPlayer.ChatMode]; [ProxiedPlayer.MainHand]. LCC (Lack of Component Cohesion) = 0.5
BungeeCord1,net.md_5.bungee.api.event,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AsyncEvent; LoginEvent; PostLoginEvent; PreLoginEvent; ProxyPingEvent]; [ChatEvent; TargetedEvent; PluginMessageEvent; TabCompleteEvent; TabCompleteResponseEvent]; [ClientConnectEvent]; [PermissionCheckEvent]; [PlayerDisconnectEvent]; [PlayerHandshakeEvent]; [ProxyReloadEvent]; [ServerConnectedEvent]; [ServerConnectEvent]; [ServerConnectEvent.Reason]; [ServerDisconnectEvent]; [ServerKickEvent]; [ServerKickEvent.State]; [ServerSwitchEvent]; [SettingsChangedEvent]. LCC (Lack of Component Cohesion) = 0.65
BungeeCord1,net.md_5.bungee.api.plugin,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Cancellable]; [Command; PluginManager; LibraryLoader; PluginDescription; Listener; Plugin; PluginClassloader; PluginLogger; DummyPlugin]; [Event]; [TabExecutor]. LCC (Lack of Component Cohesion) = 0.33
BungeeCord1,net.md_5.bungee.api.plugin,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.md_5.bungee.api.plugin; net.md_5.bungee.api.scheduler; net.md_5.bungee.api.plugin
BungeeCord1,net.md_5.bungee.api.scheduler,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): net.md_5.bungee.api.plugin
BungeeCord1,net.md_5.bungee.command,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PlayerCommand; CommandIP]; [CommandBungee]; [CommandEnd]; [CommandPerms]; [CommandReload]; [ConsoleCommandCompleter]; [ConsoleCommandSender]. LCC (Lack of Component Cohesion) = 0.88
BungeeCord1,net.md_5.bungee.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): net.md_5.bungee; net.md_5.bungee.api.chat.hover.content
BungeeCord1,net.md_5.bungee.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CaseInsensitiveHashingStrategy; CaseInsensitiveMap; CaseInsensitiveSet; CaseInsensitiveTest]; [AddressParseTest]; [UUIDTest]; [AddressUtil; AddressUtilTest]; [AllowedCharacters]; [BufUtil]; [ChatComponentTransformer]; [QuietException]. LCC (Lack of Component Cohesion) = 0.67
BungeeCord1,net.md_5.bungee,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): net.md_5.bungee.conf; net.md_5.bungee.scheduler; net.md_5.bungee.module; net.md_5.bungee.connection; net.md_5.bungee.tab
BungeeCord1,net.md_5.bungee,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Util; ServerConnector; UserConnection; Bootstrap; BungeeCordLauncher; BungeeCord; BungeeServerInfo; ConnectionThrottle; EncryptionUtil; Metrics; ServerConnection; ThrottleTest; PlayerSkinConfiguration]; [NativeCipherTest]; [NativeZlibTest]; [BungeeTitle]; [BungeeTitle.TitlePacketHolder]; [PlayerInfoSerializer]; [ServerConnection.KeepAliveData]; [ServerConnector.State]; [ThrottleTest.FixedTicker]. LCC (Lack of Component Cohesion) = 0.43
BungeeCord1,net.md_5.bungee,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: net.md_5.bungee.api.event; net.md_5.bungee.api.
BungeeCord1,net.md_5.bungee,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: net.md_5.bungee.netty; net.md_5.bungee.api.connection.
BungeeCord1,net.md_5.bungee,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: net.md_5.bungee.api.config; net.md_5.bungee.api.
BungeeCord1,net.md_5.bungee,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.md_5.bungee; net.md_5.bungee.conf; net.md_5.bungee
BungeeCord1,net.md_5.bungee,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.md_5.bungee; net.md_5.bungee.module; net.md_5.bungee
