Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
BungeeCord1,net.md_5.bungee.netty,PipelineUtils,Law of Demeter violation,The tool detected the smell in this method (initChannel) because the method voilates the law of Demeter. The long chain of method invocations is : net.md_5.bungee.ConnectionThrottle.throttle; net.md_5.bungee.BungeeCord.getInstance
BungeeCord1,net.md_5.bungee.netty,PipelineUtils.Base,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
BungeeCord1,net.md_5.bungee.scheduler,BungeeScheduler,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: net.md_5.bungee.scheduler.BungeeTask
BungeeCord1,net.md_5.bungee.scheduler,SchedulerTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: net.md_5.bungee.api.scheduler.TaskScheduler
BungeeCord1,net.md_5.bungee.tab,ServerUnique,Law of Demeter violation,The tool detected the smell in this method (onServerChange) because the method voilates the law of Demeter. The long chain of method invocations is : net.md_5.bungee.api.connection.PendingConnection.getVersion; net.md_5.bungee.api.connection.ProxiedPlayer.getPendingConnection
BungeeCord1,net.md_5.bungee.tab,TabList,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
BungeeCord1,net.md_5.bungee.tab,TabList,Law of Demeter violation,The tool detected the smell in this method (rewrite) because the method voilates the law of Demeter. The long chain of method invocations is : net.md_5.bungee.BungeeCord.getInstance; net.md_5.bungee.BungeeCord.getPlayerByOfflineUUID
BungeeCord1,net.md_5.bungee.tab,TabList,Law of Demeter violation,The tool detected the smell in this method (rewrite) because the method voilates the law of Demeter. The long chain of method invocations is : net.md_5.bungee.BungeeCord.getInstance; net.md_5.bungee.BungeeCord.getPlayerByOfflineUUID
BungeeCord1,org.slf4j.impl,JDK14LoggerFactory,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LOGGER (43)
BungeeCord1,org.slf4j.impl,StaticLoggerBinder,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: REQUESTED_API_VERSION (54)
